Title	Reference	Date	Genre
Google AI tự viết code như lập trình viên	https://vnexpress.net/google-ai-tu-viet-code-nhu-lap-trinh-vien-4423767.html	Thứ sáu, 4/2/2022, 08:00 (GMT+7)	AI 
Bị bắt vì dùng AirTag theo dõi bạn gái cũ	https://vnexpress.net/bi-bat-vi-dung-airtag-theo-doi-ban-gai-cu-4423905.html	Thứ sáu, 4/2/2022, 10:14 (GMT+7)	Đời sống số 
Trải nghiệm tập thể dục khác lạ trong metaverse	https://vnexpress.net/trai-nghiem-tap-the-duc-khac-la-trong-metaverse-4423744.html	Thứ sáu, 4/2/2022, 06:00 (GMT+7)	Xu hướng 
Trickbot - nhóm hacker từng gây sóng gió cho hệ thống y tế Mỹ	https://vnexpress.net/trickbot-nhom-hacker-tung-gay-song-gio-cho-he-thong-y-te-my-4423813.html	Thứ sáu, 4/2/2022, 00:00 (GMT+7)	Bảo mật 
Apple thoát vụ kiện về tính năng chống nước của iPhone	https://vnexpress.net/apple-thoat-vu-kien-ve-tinh-nang-chong-nuoc-cua-iphone-4423968.html	Thứ sáu, 4/2/2022, 12:08 (GMT+7)	 
Được mời làm việc nhờ theo dõi máy bay của Elon Musk	https://vnexpress.net/duoc-moi-lam-viec-nho-theo-doi-may-bay-cua-elon-musk-4423696.html	Thứ năm, 3/2/2022, 07:10 (GMT+7)	Đời sống số 
320 triệu USD tiền điện tử bị tin tặc đánh cắp	https://vnexpress.net/320-trieu-usd-tien-dien-tu-bi-tin-tac-danh-cap-4423798.html	Thứ năm, 3/2/2022, 13:52 (GMT+7)	 
Hành trình tìm lại ví chứa hai triệu USD tiền số	https://vnexpress.net/hanh-trinh-tim-lai-vi-chua-hai-trieu-usd-tien-so-4420871.html	Thứ năm, 3/2/2022, 00:00 (GMT+7)	Đời sống số 
BlackBerry bán gần hết sáng chế điện thoại	https://vnexpress.net/blackberry-ban-gan-het-sang-che-dien-thoai-4423728.html	Thứ năm, 3/2/2022, 13:57 (GMT+7)	 
Thế giới avatar không chân trong vũ trụ ảo	https://vnexpress.net/the-gioi-avatar-khong-chan-trong-vu-tru-ao-4422999.html	Thứ năm, 3/2/2022, 12:00 (GMT+7)	 
Facebook lần đầu giảm người dùng hàng ngày	https://vnexpress.net/facebook-lan-dau-giam-nguoi-dung-hang-ngay-4423731.html	Thứ năm, 3/2/2022, 09:23 (GMT+7)	Đời sống số 
Giấc mơ tiền điện tử của Facebook tan vỡ	https://vnexpress.net/giac-mo-tien-dien-tu-cua-facebook-tan-vo-4423545.html	Thứ tư, 2/2/2022, 08:23 (GMT+7)	 
Danh thiếp năm 1979 của Steve Jobs được đấu giá	https://vnexpress.net/danh-thiep-nam-1979-cua-steve-jobs-duoc-dau-gia-4423593.html	Thứ tư, 2/2/2022, 10:53 (GMT+7)	Đời sống số 
Xu hướng tặng phong bao đỏ trực tuyến	https://vnexpress.net/xu-huong-tang-phong-bao-do-truc-tuyen-4423430.html	Thứ tư, 2/2/2022, 00:00 (GMT+7)	Đời sống số 
Các công ty kiếm triệu USD trong metaverse thế nào?	https://vnexpress.net/cac-cong-ty-kiem-trieu-usd-trong-metaverse-the-nao-4423345.html	Thứ ba, 1/2/2022, 13:00 (GMT+7)	Đời sống số 
Loạt công nghệ sẽ thay đổi cuộc sống trong 2022	https://vnexpress.net/loat-cong-nghe-se-thay-doi-cuoc-song-trong-2022-4422391.html	Thứ ba, 1/2/2022, 06:00 (GMT+7)	 
Bàn chải đánh răng điện thông minh có cần thiết?	https://vnexpress.net/ban-chai-danh-rang-dien-thong-minh-co-can-thiet-4423206.html	Thứ hai, 31/1/2022, 17:00 (GMT+7)	Đời sống số 
Huawei kiện Thụy Điển	https://vnexpress.net/huawei-kien-thuy-dien-4423162.html	Thứ hai, 31/1/2022, 13:40 (GMT+7)	Đời sống số 
Kỹ sư 'chế' pin dự phòng dung lượng 27 triệu mAh	https://vnexpress.net/ky-su-che-pin-du-phong-dung-luong-27-trieu-mah-4423047.html	Thứ hai, 31/1/2022, 06:00 (GMT+7)	Đời sống số 
Năm sóng gió đang chờ NFT	https://vnexpress.net/nam-song-gio-dang-cho-nft-4418840.html	Thứ hai, 31/1/2022, 00:00 (GMT+7)	 
FPT Telecom kỷ niệm 25 năm đem Internet kết nối mọi nhà	https://vnexpress.net/fpt-telecom-ky-niem-25-nam-dem-internet-ket-noi-moi-nha-4423146.html	Thứ hai, 31/1/2022, 14:00 (GMT+7)	 
Elon Musk trả tiền cho hacker 19 tuổi để không bị theo dõi	https://vnexpress.net/elon-musk-tra-tien-cho-hacker-19-tuoi-de-khong-bi-theo-doi-4422877.html	Chủ nhật, 30/1/2022, 16:09 (GMT+7)	Đời sống số 
Kỷ nguyên máy ảnh số đang lụi tàn	https://vnexpress.net/ky-nguyen-may-anh-so-dang-lui-tan-4420934.html	Thứ bảy, 29/1/2022, 00:00 (GMT+7)	Đời sống số 
Lý do iPhone 11 không thể mở khóa Face ID với khẩu trang	https://vnexpress.net/ly-do-iphone-11-khong-the-mo-khoa-face-id-voi-khau-trang-4422662.html	Thứ bảy, 29/1/2022, 18:43 (GMT+7)	 
Mã độc đánh cắp hàng triệu USD qua 470 ứng dụng Android	https://vnexpress.net/ma-doc-danh-cap-hang-trieu-usd-qua-470-ung-dung-android-4422602.html	Thứ bảy, 29/1/2022, 16:09 (GMT+7)	Bảo mật 
YouTube dự định thử nghiệm NFT	https://vnexpress.net/youtube-du-dinh-thu-nghiem-nft-4422559.html	Thứ bảy, 29/1/2022, 12:49 (GMT+7)	Đời sống số 
Tim Cook: 'Metaverse có tiềm năng lớn'	https://vnexpress.net/tim-cook-metaverse-co-tiem-nang-lon-4422083.html	Thứ bảy, 29/1/2022, 06:00 (GMT+7)	Đời sống số 
Đồng tiền số tăng 285.000% sau câu nói đùa	https://vnexpress.net/dong-tien-so-tang-285-000-sau-cau-noi-dua-4422117.html	Thứ sáu, 28/1/2022, 16:00 (GMT+7)	Đời sống số 
5 thành phố có tốc độ Internet cao nhất Việt Nam	https://vnexpress.net/5-thanh-pho-co-toc-do-internet-cao-nhat-viet-nam-4421822.html	Thứ sáu, 28/1/2022, 00:00 (GMT+7)	Đời sống số 
Vũ trụ ảo của Trung Quốc khác thế giới thế nào	https://vnexpress.net/vu-tru-ao-cua-trung-quoc-khac-the-gioi-the-nao-4421206.html	Thứ sáu, 28/1/2022, 09:00 (GMT+7)	Đời sống số 
Tranh NFT khác gì ảnh chụp màn hình?	https://vnexpress.net/tranh-nft-khac-gi-anh-chup-man-hinh-4421716.html	Thứ sáu, 28/1/2022, 06:00 (GMT+7)	Đời sống số 
Màn hình 4K của Acer giá 9,99 triệu đồng	https://vnexpress.net/man-hinh-4k-cua-acer-gia-9-99-trieu-dong-4421877.html	Thứ sáu, 28/1/2022, 13:00 (GMT+7)	 
Mỹ cảnh báo về sự mất cân bằng dai dẳng ở mảng chip	https://vnexpress.net/my-canh-bao-ve-su-mat-can-bang-dai-dang-o-mang-chip-4421135.html	Thứ sáu, 28/1/2022, 07:00 (GMT+7)	Đời sống số 
Mất hàng nghìn USD khi nghỉ việc để chơi game kiếm tiền	https://vnexpress.net/mat-hang-nghin-usd-khi-nghi-viec-de-choi-game-kiem-tien-4421425.html	Thứ năm, 27/1/2022, 10:33 (GMT+7)	Đời sống số 
Elon Musk coi robot hình người là sản phẩm quan trọng nhất	https://vnexpress.net/elon-musk-coi-robot-hinh-nguoi-la-san-pham-quan-trong-nhat-4421664.html	Thứ năm, 27/1/2022, 15:56 (GMT+7)	AI 
Lượt tìm kiếm 'điều kiện về quê ăn Tết' tăng đột biến	https://vnexpress.net/luot-tim-kiem-dieu-kien-ve-que-an-tet-tang-dot-bien-4421584.html	Thứ năm, 27/1/2022, 12:00 (GMT+7)	Đời sống số 
10 tác phẩm đắt giá nhất trong giới NFT	https://vnexpress.net/10-tac-pham-dat-gia-nhat-trong-gioi-nft-4420965.html	Thứ năm, 27/1/2022, 00:00 (GMT+7)	Xu hướng 
Trải nghiệm nghe radio hiện đại với trợ lý ảo Maika	https://vnexpress.net/trai-nghiem-nghe-radio-hien-dai-voi-tro-ly-ao-maika-4421095.html	Thứ năm, 27/1/2022, 16:00 (GMT+7)	 
FPT Telecom phát triển nền tảng họp trực tuyến nhiều tiện ích	https://vnexpress.net/fpt-telecom-phat-trien-nen-tang-hop-truc-tuyen-nhieu-tien-ich-4421643.html	Thứ năm, 27/1/2022, 14:30 (GMT+7)	 
Acer ra mắt laptop gaming Nitro 5 Tiger mới	https://vnexpress.net/acer-ra-mat-laptop-gaming-nitro-5-tiger-moi-4421480.html	Thứ năm, 27/1/2022, 11:00 (GMT+7)	 
Lời nói dối về Internet miễn phí của Facebook	https://vnexpress.net/loi-noi-doi-ve-internet-mien-phi-cua-facebook-4420970.html	Thứ tư, 26/1/2022, 16:27 (GMT+7)	Đời sống số 
Tim Cook bị khủng bố tinh thần	https://vnexpress.net/tim-cook-bi-khung-bo-tinh-than-4421084.html	Thứ tư, 26/1/2022, 15:51 (GMT+7)	Nhân vật 
Chuỗi cung ứng công nghệ bất an trước kỳ nghỉ Tết	https://vnexpress.net/chuoi-cung-ung-cong-nghe-bat-an-truoc-ky-nghi-tet-4420956.html	Thứ tư, 26/1/2022, 09:45 (GMT+7)	Đời sống số 
Kiếm 120.000 USD từ NFT hình đàn vịt trong sáu giờ	https://vnexpress.net/kiem-120-000-usd-tu-nft-hinh-dan-vit-trong-sau-gio-4420837.html	Thứ tư, 26/1/2022, 08:00 (GMT+7)	Đời sống số 
Redmi Note 11 Series giá từ 4,69 triệu đồng	https://vnexpress.net/redmi-note-11-series-gia-tu-4-69-trieu-dong-4421215.html	Thứ tư, 26/1/2022, 21:00 (GMT+7)	 
Bên trong cửa hàng TopZone lớn nhất Hà Nội	https://vnexpress.net/ben-trong-cua-hang-topzone-lon-nhat-ha-noi-4421253.html	Thứ tư, 26/1/2022, 20:00 (GMT+7)	 
TopZone Hà Nội đạt 6,5 tỷ đồng sau một ngày	https://vnexpress.net/topzone-ha-noi-dat-6-5-ty-dong-sau-mot-ngay-4421254.html	Thứ tư, 26/1/2022, 19:00 (GMT+7)	 
Nghe tin tức trực tuyến trên trợ lý ảo Maika thuần Việt	https://vnexpress.net/nghe-tin-tuc-truc-tuyen-tren-tro-ly-ao-maika-thuan-viet-4420944.html	Thứ tư, 26/1/2022, 17:00 (GMT+7)	 
Cơ hội trúng sản phẩm công nghệ khi dùng dịch vụ FPT Telecom	https://vnexpress.net/co-hoi-trung-san-pham-cong-nghe-khi-dung-dich-vu-fpt-telecom-4418930.html	Thứ tư, 26/1/2022, 10:00 (GMT+7)	 
'LG đặt trải nghiệm khách hàng làm trọng tâm đổi mới'	https://vnexpress.net/lg-dat-trai-nghiem-khach-hang-lam-trong-tam-doi-moi-4420773.html	Thứ tư, 26/1/2022, 09:00 (GMT+7)	 
Tivi 4K giảm giá mạnh dịp Tết	https://vnexpress.net/tivi-4k-giam-gia-manh-dip-tet-4420945.html	Thứ tư, 26/1/2022, 08:00 (GMT+7)	 
Nhật Bản đua máy tính lượng tử với Mỹ, Trung Quốc	https://vnexpress.net/nhat-ban-dua-may-tinh-luong-tu-voi-my-trung-quoc-4420646.html	Thứ ba, 25/1/2022, 18:00 (GMT+7)	 
Tranh cãi về 'mùa đông tiền điện tử'	https://vnexpress.net/tranh-cai-ve-mua-dong-tien-dien-tu-4420443.html	Thứ ba, 25/1/2022, 11:18 (GMT+7)	Đời sống số 
Phụ kiện Apple bị lợi dụng để trộm xe	https://vnexpress.net/phu-kien-apple-bi-loi-dung-de-trom-xe-4420623.html	Thứ ba, 25/1/2022, 10:37 (GMT+7)	Đời sống số 
Kênh YouTube bị hack để lừa tiền điện tử	https://vnexpress.net/kenh-youtube-bi-hack-de-lua-tien-dien-tu-4420528.html	Thứ ba, 25/1/2022, 07:43 (GMT+7)	Bảo mật 
Facebook chế tạo siêu máy tính AI mạnh nhất thế giới	https://vnexpress.net/facebook-che-tao-sieu-may-tinh-ai-manh-nhat-the-gioi-4420533.html	Thứ ba, 25/1/2022, 07:21 (GMT+7)	AI 
Google có thể phải kiểm duyệt kết quả tìm kiếm	https://vnexpress.net/google-co-the-phai-kiem-duyet-ket-qua-tim-kiem-4420525.html	Thứ ba, 25/1/2022, 10:05 (GMT+7)	Đời sống số 
Sinh viên 22 tuổi tự chế chip bán dẫn tại nhà	https://vnexpress.net/sinh-vien-22-tuoi-tu-che-chip-ban-dan-tai-nha-4419727.html	Thứ hai, 24/1/2022, 09:00 (GMT+7)	Nhân vật 
Game - đấu trường mới của các 'ông lớn' công nghệ	https://vnexpress.net/game-dau-truong-moi-cua-cac-ong-lon-cong-nghe-4420082.html	Thứ hai, 24/1/2022, 14:48 (GMT+7)	Đời sống số 
Loạt đồ công nghệ giảm giá mạnh phù hợp làm quà tặng dịp Tết	https://vnexpress.net/loat-do-cong-nghe-giam-gia-manh-phu-hop-lam-qua-tang-dip-tet-4419632.html	Thứ hai, 24/1/2022, 14:00 (GMT+7)	 
Lý do iPhone hiển thị chấm màu cam hoặc xanh	https://vnexpress.net/ly-do-iphone-hien-thi-cham-mau-cam-hoac-xanh-4419999.html	Thứ hai, 24/1/2022, 06:00 (GMT+7)	Đời sống số 
'Trâu cày' bị bán ồ ạt khi Bitcoin lao dốc	https://vnexpress.net/trau-cay-bi-ban-o-at-khi-bitcoin-lao-doc-4419853.html	Chủ nhật, 23/1/2022, 17:05 (GMT+7)	Đời sống số 
Sự trỗi dậy của 'tiền bối kỹ thuật số' châu Á	https://vnexpress.net/su-troi-day-cua-tien-boi-ky-thuat-so-chau-a-4419784.html	Chủ nhật, 23/1/2022, 12:42 (GMT+7)	Đời sống số 
'Người đẹp tiền số' kiếm triệu USD nhờ ảnh NFT	https://vnexpress.net/nguoi-dep-tien-so-kiem-trieu-usd-nho-anh-nft-4419603.html	Chủ nhật, 23/1/2022, 00:00 (GMT+7)	Đời sống số 
Tích hợp NFT có thể gây hại cho Facebook, Twitter	https://vnexpress.net/tich-hop-nft-co-the-gay-hai-cho-facebook-twitter-4419929.html	Chủ nhật, 23/1/2022, 23:58 (GMT+7)	Đời sống số 
Tấn công mạng tại Ukraine có nguy cơ lan ra thế giới	https://vnexpress.net/tan-cong-mang-tai-ukraine-co-nguy-co-lan-ra-the-gioi-4419719.html	Chủ nhật, 23/1/2022, 08:38 (GMT+7)	Bảo mật 
Intel xây nhà máy chip lớn nhất thế giới	https://vnexpress.net/intel-xay-nha-may-chip-lon-nhat-the-gioi-4419764.html	Chủ nhật, 23/1/2022, 08:02 (GMT+7)	Đời sống số 
NFT bị mang tiếng xấu	https://vnexpress.net/nft-bi-mang-tieng-xau-4419270.html	Thứ bảy, 22/1/2022, 19:00 (GMT+7)	Đời sống số 
Internet vệ tinh khó thay thế cáp quang biển	https://vnexpress.net/internet-ve-tinh-kho-thay-the-cap-quang-bien-4419497.html	Thứ bảy, 22/1/2022, 12:27 (GMT+7)	 
Nhân viên ảo đang thay thế người thật	https://vnexpress.net/nhan-vien-ao-dang-thay-the-nguoi-that-4419209.html	Thứ bảy, 22/1/2022, 00:00 (GMT+7)	AI 
Apple vá lỗi lộ thông tin nghiêm trọng trên Safari	https://vnexpress.net/apple-va-loi-lo-thong-tin-nghiem-trong-tren-safari-4419426.html	Thứ bảy, 22/1/2022, 08:00 (GMT+7)	Bảo mật 
Nga đề xuất cấm khai thác tiền điện tử	https://vnexpress.net/nga-de-xuat-cam-khai-thac-tien-dien-tu-4419346.html	Thứ bảy, 22/1/2022, 07:15 (GMT+7)	Đời sống số 
Kỳ lân công nghệ muốn bình dân hóa AI	https://vnexpress.net/ky-lan-cong-nghe-muon-binh-dan-hoa-ai-4419166.html	Thứ bảy, 22/1/2022, 09:00 (GMT+7)	AI 
Mạng xã hội đầu tiên cho dùng NFT làm ảnh đại diện	https://vnexpress.net/mang-xa-hoi-dau-tien-cho-dung-nft-lam-anh-dai-dien-4419071.html	Thứ sáu, 21/1/2022, 10:16 (GMT+7)	Đời sống số 
Video vẽ 5 tranh cùng lúc của hoạ sĩ Việt gây 'sốt' mạng xã hội	https://vnexpress.net/video-ve-5-tranh-cung-luc-cua-hoa-si-viet-gay-sot-mang-xa-hoi-4418584.html	Thứ sáu, 21/1/2022, 07:00 (GMT+7)	Đời sống số 
Samsung 'ngó lơ' AR, dồn sức cho smartphone gập	https://vnexpress.net/samsung-ngo-lo-ar-don-suc-cho-smartphone-gap-4419142.html	Thứ sáu, 21/1/2022, 13:13 (GMT+7)	Đời sống số 
MediaTek thử nghiệm Wi-Fi 7	https://vnexpress.net/mediatek-thu-nghiem-wi-fi-7-4418848.html	Thứ sáu, 21/1/2022, 06:00 (GMT+7)	 
Ezviz vào top 56 công ty công nghệ toàn cầu	https://vnexpress.net/ezviz-vao-top-56-cong-ty-cong-nghe-toan-cau-4418822.html	Thứ sáu, 21/1/2022, 19:00 (GMT+7)	 
Cơ hội mới của ngành chip trong cơn sốt vũ trụ ảo	https://vnexpress.net/co-hoi-moi-cua-nganh-chip-trong-con-sot-vu-tru-ao-4418368.html	Thứ năm, 20/1/2022, 10:05 (GMT+7)	Đời sống số 
RAM trên smartphone bao nhiêu là đủ?	https://vnexpress.net/ram-tren-smartphone-bao-nhieu-la-du-4418499.html	Thứ năm, 20/1/2022, 08:15 (GMT+7)	 
Sao livestream bị cấm, MC ảo lên ngôi	https://vnexpress.net/sao-livestream-bi-cam-mc-ao-len-ngoi-4418480.html	Thứ năm, 20/1/2022, 06:57 (GMT+7)	AI 
Lý do Microsoft chi tiền kỷ lục mua Activision Blizzard	https://vnexpress.net/ly-do-microsoft-chi-tien-ky-luc-mua-activision-blizzard-4418212.html	Thứ năm, 20/1/2022, 00:00 (GMT+7)	Đời sống số 
Bài toán bảo mật cho nền tảng OTT	https://vnexpress.net/bai-toan-bao-mat-cho-nen-tang-ott-4418429.html	Thứ năm, 20/1/2022, 20:00 (GMT+7)	 
Garmin đưa tính năng thoại vào đồng hồ	https://vnexpress.net/garmin-dua-tinh-nang-thoai-vao-dong-ho-4418242.html	Thứ năm, 20/1/2022, 16:00 (GMT+7)	 
Giáo sư Mỹ: 'AI cần học cách ra quyết định có đạo đức'	https://vnexpress.net/giao-su-my-ai-can-hoc-cach-ra-quyet-dinh-co-dao-duc-4418370.html	Thứ tư, 19/1/2022, 18:22 (GMT+7)	AI 
Kỹ sư bảo mật Việt được Apple vinh danh	https://vnexpress.net/ky-su-bao-mat-viet-duoc-apple-vinh-danh-4417824.html	Thứ tư, 19/1/2022, 00:00 (GMT+7)	Bảo mật 
Hơn 70 triệu lượt máy tính ở Việt Nam nhiễm virus năm 2021	https://vnexpress.net/hon-70-trieu-luot-may-tinh-o-viet-nam-nhiem-virus-nam-2021-4418273.html	Thứ tư, 19/1/2022, 18:44 (GMT+7)	Bảo mật 
Mỹ xem xét mảng đám mây của Alibaba	https://vnexpress.net/my-xem-xet-mang-dam-may-cua-alibaba-4418400.html	Thứ tư, 19/1/2022, 17:59 (GMT+7)	Đời sống số 
Xiaomi sở hữu công nghệ cảm biến vân tay toàn màn hình	https://vnexpress.net/xiaomi-so-huu-cong-nghe-cam-bien-van-tay-toan-man-hinh-4418228.html	Thứ tư, 19/1/2022, 14:47 (GMT+7)	 
Elon Musk lo ngại vì bị chia sẻ lịch trình lên mạng	https://vnexpress.net/elon-musk-lo-ngai-vi-bi-chia-se-lich-trinh-len-mang-4418144.html	Thứ tư, 19/1/2022, 14:32 (GMT+7)	Nhân vật 
Microsoft chi 69 tỷ USD mua công ty game	https://vnexpress.net/microsoft-chi-69-ty-usd-mua-cong-ty-game-4418029.html	Thứ tư, 19/1/2022, 07:25 (GMT+7)	 
